origin,destination,distance,timezone_change
EWR,BOS,322.74,0
EWR,DEN,2583.09,-2
EWR,DFW,2208.47,-1
EWR,ORD,1157.37,-1
EWR,ATL,1199.92,0
EWR,MIA,1746.98,0
EWR,LAX,3949.83,-3
EWR,SFO,4128.4,-3
EWR,SWF,90.29,0
BOS,EWR,322.74,0
BOS,DEN,2823.11,-2
BOS,DFW,2513.36,-1
BOS,ORD,1394.73,-1
BOS,ATL,1522.6,0
BOS,MIA,2025.01,0
BOS,LAX,4202.36,-3
BOS,SFO,4351.85,-3
BOS,SWF,274.24,0
DEN,EWR,2583.09,2
DEN,BOS,2823.11,2
DEN,DFW,1031.14,1
DEN,ORD,1429.75,1
DEN,ATL,1929.94,2
DEN,MIA,2750.05,2
DEN,LAX,1386.86,-1
DEN,SFO,1556.28,-1
DEN,SWF,2577.31,2
DFW,EWR,2208.47,1
DFW,BOS,2513.36,1
DFW,DEN,1031.14,-1
DFW,ORD,1290.21,0
DFW,ATL,1177.2,1
DFW,MIA,1804.21,1
DFW,LAX,1987.3,-2
DFW,SFO,2356.35,-2
DFW,SWF,2239.62,1
ORD,EWR,1157.37,1
ORD,BOS,1394.73,1
ORD,DEN,1429.75,-1
ORD,DFW,1290.21,0
ORD,ATL,974.96,1
ORD,MIA,1926.48,1
ORD,LAX,2807.78,-2
ORD,SFO,2971.04,-2
ORD,SWF,1147.91,1
ATL,EWR,1199.92,0
ATL,BOS,1522.6,0
ATL,DEN,1929.94,-2
ATL,DFW,1177.2,-1
ATL,ORD,974.96,-1
ATL,MIA,956.91,0
ATL,LAX,3132.72,-3
ATL,SFO,3442.23,-3
ATL,SWF,1260.82,0
MIA,EWR,1746.98,0
MIA,BOS,2025.01,0
MIA,DEN,2750.05,-2
MIA,DFW,1804.21,-1
MIA,ORD,1926.48,-1
MIA,ATL,956.91,0
MIA,LAX,3769.07,-3
MIA,SFO,4160.17,-3
MIA,SWF,1833.32,0
LAX,EWR,3949.83,3
LAX,BOS,4202.36,3
LAX,DEN,1386.86,1
LAX,DFW,1987.3,2
LAX,ORD,2807.78,2
LAX,ATL,3132.72,3
LAX,MIA,3769.07,3
LAX,SFO,542.91,0
LAX,SWF,3950.4,3
SFO,EWR,4128.4,3
SFO,BOS,4351.85,3
SFO,DEN,1556.28,1
SFO,DFW,2356.35,2
SFO,ORD,2971.04,2
SFO,ATL,3442.23,3
SFO,MIA,4160.17,3
SFO,LAX,542.91,0
SFO,SWF,4116.67,3
SWF,EWR,90.29,0
SWF,BOS,274.24,0
SWF,DEN,2577.31,-2
SWF,DFW,2239.62,-1
SWF,ORD,1147.91,-1
SWF,ATL,1260.82,0
SWF,MIA,1833.32,0
SWF,LAX,3950.4,-3
SWF,SFO,4116.67,-3
